incident_num,defendant_id,arraignment_date,charge,num_charges,felony,expungable,any_bail,bail_amount,bail_types,num_conditions,did_not_appear,prior_appearences,gender,race,judge_id,arraignment_data
19BU002982,Defendant651,2/19/2019,Simple Assault,1,0,1,1,200,Bail,1,1,1,Male,White,Judge7,TRUE
19BU003439,Defendant697,2/19/2019,Aggravated Assault,2,1,0,0,0,No Bail,5,0,2,Male,Black,Judge7,TRUE
19BU003507,Defendant880,2/19/2019,Simple Assault,1,0,1,0,0,No Bail,3,0,1,Male,Black,Judge7,TRUE
19CC001743,Defendant31,2/19/2019,Domestic Assault - 1st Degree Aggravated,2,1,0,0,0,Remanded,1,1,0,Male,Black,Judge7,TRUE
18BU015997,Defendant400,2/21/2019,Retail Theft (Misd),2,0,1,0,0,No Bail,3,0,2,Female,White,Judge7,TRUE
18BU029154,Defendant1023,2/21/2019,Leaving Scene Of An Accident,1,0,1,0,0,No Bail,1,1,0,Male,White,Judge7,TRUE
19BU002288,Defendant214,2/21/2019,Domestic Assault,1,0,0,0,0,No Bail,4,0,0,Male,White,Judge7,TRUE
19BU002031,Defendant951,2/21/2019,Driving With A Criminally Suspended License,1,0,1,0,0,No Bail,1,0,0,Male,White,Judge7,TRUE
19BU001483,Defendant386,2/21/2019,"Drugs - Cocaine, Possession  Misdemeanor",3,0,1,0,0,No Bail,3,0,0,Male,White,Judge7,TRUE
18BU023138,Defendant93,2/21/2019,Petit Larceny Other,1,0,1,1,200,Bail,1,1,0,Male,White,Judge7,TRUE
19BU001274,Defendant416,2/21/2019,Violation Of Conditions Of Release (Other),1,0,0,0,0,No Bail,1,1,1,Female,White,Judge7,TRUE
18BU02941,Defendant588,2/21/2019,Petit Larceny Other,1,0,1,0,0,No Bail,3,0,0,Male,White,Judge7,TRUE
19BU001867,Defendant574,2/21/2019,"Driving Under The Influence, First Offense",1,0,0,0,0,No Bail,3,0,1,Male,Black,Judge7,TRUE
19BU002400,Defendant477,2/21/2019,Unlawful Trespass (Misdemeanor),2,0,1,0,0,No Bail,1,1,0,Male,White,Judge7,TRUE
19BU002307,Defendant419,2/21/2019,Disorderly Conduct - All Other,1,0,1,0,0,No Bail,1,0,0,Male,White,Judge7,TRUE
19BU001705,Defendant268,2/21/2019,Driving With A Criminally Suspended License,2,0,1,1,200,Bail,1,1,4,Male,White,Judge7,TRUE
18BU026436,Defendant488,2/22/2019,"Drugs - Cocaine, Sale >2.5 Gm",5,1,0,1,10000,Bail,4,0,0,Female,Black,Judge7,TRUE
19BU003715,Defendant941,2/25/2019,Unlawful Restraint - 1st Degree,3,1,0,1,5000,Bail,5,0,1,Male,White,Judge10,TRUE
19BU003902,Defendant437,2/25/2019,Unlawful Trespass (Felony),2,1,0,1,100,Bail,4,0,1,Female,White,Judge10,TRUE
19BU003936,Defendant651,2/25/2019,Sexual Assault,2,1,0,0,0,No Bail,3,0,2,Male,White,Judge10,TRUE
18BU028737,Defendant336,2/26/2019,Grand Larceny,4,1,0,1,10000,Bail,NA,0,2,Male,White,Judge12,TRUE
19BU002760,Defendant58,2/26/2019,Unlawful Trespass (Misdemeanor),1,0,1,0,0,No Bail,1,0,9,Male,White,Judge12,TRUE
18BU022006,Defendant776,2/26/2019,"Drugs - Cocaine, Sale <2.5 Gm",6,1,0,0,0,No Bail,3,0,0,Male,Black,Judge12,TRUE
18BU004215,Defendant258,2/26/2019,Disorderly Conduct - All Other,1,0,1,0,0,No Bail,1,1,0,Female,White,Judge12,TRUE
19BU002542,Defendant288,2/26/2019,Violation Of An Abuse Prevention Order,1,0,0,0,0,No Bail,1,0,0,Female,White,Judge12,TRUE
17BU018832,Defendant270,2/26/2019,Leaving Scene Of An Accident,1,0,1,1,200,Bail,1,1,4,Female,Black,Judge12,TRUE
19BU004046,Defendant506,2/27/2019,Violation Of An Abuse Prevention Order,2,0,0,0,0,No Bail,5,0,1,Male,Black,Judge12,TRUE
19BU02297,Defendant410,2/28/2019,Violation Of Conditions Of Release (Other),1,0,0,0,0,No Bail,1,0,1,Female,White,Judge10,TRUE
18BU010636,Defendant323,2/28/2019,Grand Larceny,1,1,0,0,0,No Bail,1,0,1,Female,White,Judge10,TRUE
19BU002630,Defendant953,2/28/2019,Driving With A Criminally Suspended License,1,0,1,0,0,No Bail,1,0,0,Male,White,Judge10,TRUE
19BU002529,Defendant1012,2/28/2019,Petit Larceny From A Motor Vehicle,1,0,1,0,0,No Bail,1,0,0,Female,White,Judge10,TRUE
19BU002290,Defendant871,2/28/2019,Disorderly Conduct - All Other,1,0,1,0,0,No Bail,1,0,0,Male,Black,Judge10,TRUE
18BU020441,Defendant167,2/28/2019,Driving With A Criminally Suspended License,3,0,1,0,0,No Bail,1,0,1,Female,White,Judge10,TRUE
19BU002709,Defendant156,2/28/2019,Disorderly Conduct - All Other,1,0,1,0,0,No Bail,1,1,1,Male,White,Judge10,TRUE
19BU000121,Defendant836,2/28/2019,Retail Theft (Misd),1,0,1,0,0,No Bail,3,0,0,Male,White,Judge10,TRUE
19BU003623,Defendant311,2/28/2019,Retail Theft (Misd),1,0,1,0,0,No Bail,3,0,1,Female,White,Judge10,TRUE
19BU004173,Defendant116,3/1/2019,Operation Without Consent - Aggravated,4,1,0,1,5000,Bail,4,0,1,Male,White,Judge12,TRUE
19BU004250,Defendant268,3/1/2019,Driving With A Criminally Suspended License,2,0,1,1,200,Bail,NA,0,5,Male,White,Judge12,TRUE
19BU004240,Defendant331,3/1/2019,Violation Of Conditions Of Release (Other),1,0,0,0,0,No Bail,1,0,0,Male,White,Judge12,TRUE
19BU01558,Defendant135,3/1/2019,"Violation Of Conditions Of Release (Travel, Curfew, Or Contact)",1,0,0,0,0,No Bail,4,0,2,Male,White,Judge12,TRUE
19BU004295,Defendant93,3/4/2019,Petit Larceny Other,1,0,1,0,0,No Bail,2,0,1,Male,White,Judge10,TRUE
19BU004383,Defendant307,3/4/2019,Escape,6,1,0,1,10000,Bail,4,0,0,Male,White,Judge10,TRUE
19BU004394,Defendant650,3/4/2019,"Drugs - Cocaine, Possession  >2.5 Gm",2,1,0,0,0,No Bail,4,0,0,Male,White,Judge10,TRUE
19BU004509,Defendant1045,3/6/2019,Resisting Arrest,2,0,1,0,0,No Bail,1,0,0,Male,Black,Judge12,TRUE
19BU004501,Defendant621,3/6/2019,Retail Theft (Misd),1,0,1,0,0,No Bail,NA,0,2,Female,White,Judge12,TRUE
19BU004462,Defendant1044,3/6/2019,Sexual Assault,3,1,0,0,0,No Bail,5,0,0,Male,White,Judge12,TRUE
19BU004575,Defendant342,3/7/2019,Unlawful Trespass (Misdemeanor),1,0,1,0,0,No Bail,3,0,3,Female,White,Judge10,TRUE
19BU004514,Defendant435,3/7/2019,Violation Of Conditions Of Release (Other),1,0,0,0,0,No Bail,NA,0,3,Female,White,Judge10,TRUE
19BU004394,Defendant650,3/7/2019,"Drugs - Cocaine, Possession  >2.5 Gm",1,1,0,1,1000,Bail,1,1,1,Male,White,Judge10,TRUE
19BU003437,Defendant1006,3/7/2019,Unlawful Trespass (Misdemeanor),2,0,1,0,0,No Bail,2,0,0,Female,White,Judge10,TRUE
18BU029002,Defendant165,3/7/2019,Stolen Property Receiving (Possession Of) Stolen Property (Felony),2,1,0,0,0,No Bail,1,0,0,Male,White,Judge10,TRUE
19BU003354,Defendant1056,3/7/2019,Disorderly Conduct - Aggravated,2,0,1,1,200,Bail,1,1,0,Male,Black,Judge10,TRUE
